Stochastic Gradient, batch size= 1 / 1000
  iter   |   fval   |  normit 
      94 | 6.90e-01 | 7.08e-01
      96 | 6.90e-01 | 7.07e-01
      98 | 6.90e-01 | 7.06e-01
     100 | 6.90e-01 | 7.05e-01
     102 | 6.90e-01 | 7.04e-01
     104 | 6.90e-01 | 7.03e-01
     106 | 6.90e-01 | 7.02e-01
     108 | 6.90e-01 | 7.01e-01
     110 | 6.90e-01 | 7.00e-01
     112 | 6.90e-01 | 6.99e-01
     114 | 6.90e-01 | 6.98e-01
     116 | 6.90e-01 | 6.97e-01
     118 | 6.90e-01 | 6.96e-01
     120 | 6.90e-01 | 6.95e-01
     122 | 6.90e-01 | 6.94e-01
     124 | 6.90e-01 | 6.94e-01
     126 | 6.90e-01 | 6.93e-01
     128 | 6.90e-01 | 6.92e-01
     130 | 6.90e-01 | 6.91e-01
     132 | 6.90e-01 | 6.90e-01
     134 | 6.90e-01 | 6.89e-01
     136 | 6.90e-01 | 6.89e-01
     138 | 6.90e-01 | 6.88e-01
     140 | 6.90e-01 | 6.87e-01
     142 | 6.90e-01 | 6.86e-01
     144 | 6.90e-01 | 6.85e-01
     146 | 6.90e-01 | 6.84e-01
     148 | 6.90e-01 | 6.84e-01
     150 | 6.90e-01 | 6.83e-01
     152 | 6.90e-01 | 6.82e-01
     154 | 6.90e-01 | 6.81e-01
     156 | 6.90e-01 | 6.80e-01
     158 | 6.90e-01 | 6.80e-01
     160 | 6.90e-01 | 6.79e-01
     162 | 6.90e-01 | 6.78e-01
     164 | 6.90e-01 | 6.77e-01
     166 | 6.90e-01 | 6.76e-01
     168 | 6.90e-01 | 6.76e-01
     170 | 6.90e-01 | 6.75e-01
     172 | 6.90e-01 | 6.74e-01
     174 | 6.90e-01 | 6.73e-01
     176 | 6.90e-01 | 6.73e-01
     178 | 6.90e-01 | 6.72e-01
     180 | 6.90e-01 | 6.71e-01
     182 | 6.90e-01 | 6.71e-01
     184 | 6.90e-01 | 6.70e-01
     186 | 6.89e-01 | 6.69e-01
     188 | 6.89e-01 | 6.69e-01
     190 | 6.89e-01 | 6.68e-01
     192 | 6.89e-01 | 6.67e-01
     194 | 6.89e-01 | 6.67e-01
     196 | 6.89e-01 | 6.66e-01
