Stochastic Gradient, batch size= 1 / 10000
  iter   |   fval   |  normit 
   40000 | 6.82e-01 | 7.29e-02
   50000 | 6.82e-01 | 3.78e-02
   60000 | 6.82e-01 | 1.51e-02
   70000 | 6.82e-01 | 1.90e-02
   80000 | 6.82e-01 | 1.79e-02
   90000 | 6.82e-01 | 1.89e-02
  100000 | 6.82e-01 | 1.29e-02
  110000 | 6.82e-01 | 7.74e-03
  120000 | 6.82e-01 | 1.81e-02
  130000 | 6.82e-01 | 1.94e-02
  140000 | 6.82e-01 | 6.30e-03
  150000 | 6.82e-01 | 1.10e-02
  160000 | 6.82e-01 | 1.74e-02
  170000 | 6.82e-01 | 2.17e-02
  180000 | 6.82e-01 | 2.31e-02
  190000 | 6.82e-01 | 1.03e-02
  200000 | 6.82e-01 | 2.14e-02
  210000 | 6.82e-01 | 9.72e-03
  220000 | 6.82e-01 | 1.67e-02
  230000 | 6.82e-01 | 2.09e-02
  240000 | 6.82e-01 | 1.32e-02
  250000 | 6.82e-01 | 1.28e-02
  260000 | 6.82e-01 | 2.65e-02
  270000 | 6.82e-01 | 1.75e-02
  280000 | 6.82e-01 | 1.27e-02
  290000 | 6.82e-01 | 1.92e-02
  300000 | 6.82e-01 | 2.23e-02
  310000 | 6.82e-01 | 9.25e-03
  320000 | 6.82e-01 | 7.10e-03
  330000 | 6.82e-01 | 1.20e-02
  340000 | 6.82e-01 | 1.83e-02
  350000 | 6.82e-01 | 1.56e-02
  360000 | 6.82e-01 | 2.33e-02
  370000 | 6.82e-01 | 2.43e-02
  380000 | 6.82e-01 | 2.06e-02
  390000 | 6.82e-01 | 1.54e-02
  400000 | 6.82e-01 | 5.25e-03
  410000 | 6.82e-01 | 5.52e-03
  420000 | 6.82e-01 | 7.13e-03
  430000 | 6.82e-01 | 1.81e-02
  440000 | 6.82e-01 | 2.26e-02
  450000 | 6.82e-01 | 1.58e-02
  460000 | 6.82e-01 | 1.30e-02
  470000 | 6.82e-01 | 1.97e-02
  480000 | 6.82e-01 | 1.93e-02
  490000 | 6.82e-01 | 1.02e-02
  500000 | 6.82e-01 | 8.78e-03
  510000 | 6.82e-01 | 1.48e-02
  520000 | 6.82e-01 | 2.75e-02
  530000 | 6.82e-01 | 2.13e-02
  540000 | 6.82e-01 | 1.16e-02
  550000 | 6.82e-01 | 1.42e-02
  560000 | 6.82e-01 | 6.30e-03
  570000 | 6.82e-01 | 3.50e-03
  580000 | 6.82e-01 | 1.35e-02
  590000 | 6.82e-01 | 1.60e-02
  600000 | 6.82e-01 | 1.46e-02
